epoch	lr	train_loss	val_loss	train_acc1	val_acc1	train_acc5	val_acc5
32	0.100	3.0277	2.9015	53.4160	56.3500	81.6180	84.7300
33	0.100	3.0016	2.4758	53.8300	61.4900	81.9680	87.6600
34	0.100	2.9893	2.6010	54.1580	59.5100	81.8180	86.9100
35	0.100	2.9685	2.8878	54.1120	55.4000	82.0660	84.2800
36	0.100	2.9540	2.6023	54.4200	59.0200	82.2200	86.9500
37	0.100	2.9508	2.8164	54.4140	57.2000	82.2780	84.7200
38	0.100	2.9281	2.7065	55.1200	57.8400	82.5200	85.2600
39	0.100	2.9253	2.7128	54.9080	57.6500	82.6480	85.8000
40	0.100	2.9208	2.8759	54.8520	55.5600	82.6560	84.2200
41	0.100	2.8911	2.6757	55.4820	57.5700	82.8940	85.4100
42	0.100	2.8838	2.8767	55.4080	55.2700	82.7720	83.2900
43	0.100	2.8735	2.6275	55.5520	59.4000	83.0000	86.2300
44	0.100	2.8640	2.5337	55.7280	61.7300	82.9440	87.5200
45	0.100	2.8429	2.7005	56.0660	58.0600	83.3000	85.5900
46	0.100	2.8392	2.4597	55.8400	61.2000	83.2120	87.4000
47	0.100	2.8555	2.3673	55.8980	61.7900	83.1640	88.1300
48	0.100	2.8039	2.5761	56.8480	60.2500	83.7000	86.4600
49	0.100	2.8401	2.3130	56.2920	62.5100	83.3820	88.5000
50	0.100	2.7832	3.0119	56.7880	54.0600	84.0380	82.5700
51	0.100	2.7995	2.7845	56.8580	57.3100	83.7300	85.5200
52	0.100	2.8134	2.4747	56.2520	60.9000	83.6220	87.7900
53	0.100	2.7952	2.9007	56.6480	56.1000	83.5860	84.7400
54	0.100	2.7717	2.4969	57.0620	60.9200	83.7980	86.7200
55	0.100	2.7639	2.5704	57.1200	59.6900	83.9400	86.6000
56	0.100	2.7651	2.6982	57.1920	58.7500	84.0420	84.7000
57	0.100	2.7673	2.4864	57.0760	59.9100	83.6860	87.0100
58	0.100	2.7676	2.5561	56.9460	60.4700	83.6320	86.9100
59	0.100	2.7547	2.3440	57.4660	62.9900	84.0560	88.1900
60	0.100	2.7482	2.5294	57.6640	60.2900	84.0320	87.1700
61	0.100	2.7391	2.5917	57.4500	59.1600	84.2500	86.2900
62	0.100	2.7246	2.6892	57.8020	59.0200	84.4400	86.7100
63	0.100	2.7337	2.4410	57.7660	61.4900	84.1620	88.5300
64	0.100	2.7197	2.6959	57.7340	58.7200	84.3600	86.0400
65	0.100	2.7285	2.4093	57.6560	61.1200	84.0980	87.9500
66	0.100	2.7003	2.6406	57.9760	58.7000	84.4220	85.6200
67	0.100	2.7076	2.5215	57.9780	60.5200	84.2800	87.5700
68	0.100	2.7211	2.3755	57.6600	61.9500	84.2020	87.9200
69	0.100	2.6981	2.3755	58.2160	62.2900	84.5100	87.9300
70	0.100	2.6851	2.4862	58.4040	60.4800	84.6500	87.5000
71	0.100	2.6702	2.4433	58.5480	61.0300	84.7360	87.1500
72	0.100	2.6723	2.2942	58.4680	63.3800	84.6540	89.3300
73	0.100	2.6618	2.5753	58.7560	60.3300	84.7620	87.4000
74	0.100	2.6612	2.4567	58.4140	61.6600	84.7960	88.2200
75	0.100	2.6712	2.4389	58.4000	61.2600	84.7960	88.2400
76	0.100	2.6579	2.4166	58.5660	61.7000	84.8200	87.4800
77	0.100	2.6834	2.5149	58.3200	60.8400	84.6360	87.3400
78	0.100	2.6480	2.6657	58.7260	59.9300	84.8460	86.5000
79	0.100	2.6643	2.3786	58.8160	62.2900	84.7340	88.2100
80	0.100	2.6293	2.6513	59.1400	60.0400	85.0100	86.4400
81	0.100	2.6357	2.5483	58.9260	59.7000	84.9960	86.5600
82	0.100	2.6326	2.2407	58.8440	64.4300	85.0720	89.3200
83	0.100	2.6205	2.4844	59.1920	61.7900	85.2520	87.2100
84	0.100	2.6167	2.5866	59.3800	60.2700	85.2360	86.1300
85	0.100	2.6341	2.3748	59.1740	61.9800	84.9720	87.8600
86	0.100	2.6311	2.5090	59.0560	60.5300	84.9060	86.8600
87	0.100	2.6280	2.5161	59.1400	60.9000	85.0700	86.7600
88	0.100	2.6087	2.4507	59.5800	61.6400	85.3980	87.9400
89	0.100	2.6166	2.3345	59.2860	63.6300	84.9660	89.2400
90	0.100	2.6068	2.3422	59.2560	62.9800	85.3220	88.6400
91	0.100	2.6119	2.5653	59.5100	60.5500	85.1940	86.5900
92	0.100	2.6033	2.3580	59.3780	62.7100	85.3240	88.6000
93	0.100	2.5992	2.6023	59.4800	60.5800	85.3200	87.4200
94	0.100	2.5760	2.6013	60.0360	59.2500	85.7240	85.5600
95	0.100	2.5855	2.3720	59.7900	62.1800	85.4160	88.1100
96	0.100	2.5933	2.3027	59.6260	62.9200	85.3360	88.6700
97	0.100	2.6040	2.7423	59.6460	59.1700	85.2300	86.6700
98	0.100	2.5958	2.3862	59.5180	63.0000	85.3280	88.0400
99	0.100	2.5916	2.4566	59.7500	61.9700	85.3200	86.9200
100	0.010	2.2206	1.5758	66.3480	74.7600	88.9400	94.1700
101	0.010	2.0596	1.5464	69.3220	75.4800	90.1680	94.5600
102	0.010	2.0120	1.5174	69.7740	76.1000	90.6720	94.6400
103	0.010	1.9618	1.5187	70.9300	76.0800	91.0700	94.7400
104	0.010	1.9540	1.5184	71.0780	76.1700	91.2460	94.8800
105	0.010	1.9119	1.5034	71.5300	76.4000	91.3900	94.8700
106	0.010	1.9083	1.5068	71.7100	76.3600	91.6040	94.8200
107	0.010	1.9013	1.4801	72.0160	76.5500	91.4920	95.1300
108	0.010	1.8785	1.4773	72.2860	77.1100	91.5260	95.0200
109	0.010	1.8592	1.4889	72.6000	76.5900	91.8320	94.8800
110	0.010	1.8471	1.4871	72.8260	76.8600	92.0380	95.1100
111	0.010	1.8377	1.4664	72.9500	76.9300	92.0980	95.2500
112	0.010	1.8227	1.4759	73.1360	76.9400	92.2300	95.0200
113	0.010	1.8037	1.4816	73.5560	76.8700	92.3380	95.2000
114	0.010	1.8026	1.4956	73.6220	76.8300	92.3820	95.1100
115	0.010	1.7937	1.4690	73.9520	77.5400	92.2460	95.1700
116	0.010	1.7762	1.4661	74.1820	77.6300	92.5500	95.1600
117	0.010	1.7814	1.4769	74.3180	77.2600	92.4200	95.0300
118	0.010	1.7642	1.4847	74.5440	77.2100	92.5360	94.9300
119	0.010	1.7622	1.4853	74.6920	77.0600	92.5860	95.1300
120	0.010	1.7505	1.4672	74.7600	77.2700	92.7580	94.9600
121	0.010	1.7444	1.4654	74.8880	77.6600	92.7240	95.4100
122	0.010	1.7273	1.4805	75.0200	77.0700	93.0520	94.9800
123	0.010	1.7257	1.4843	75.1380	77.1000	92.7880	94.9900
124	0.010	1.7266	1.4597	75.1180	77.4700	92.9600	95.1200
125	0.010	1.7302	1.5018	75.3100	76.9800	92.7040	94.8800
126	0.010	1.7264	1.4824	75.3280	77.4800	92.9620	95.1400
127	0.010	1.7043	1.4996	75.6140	77.1500	93.3440	95.1900
128	0.010	1.7007	1.4568	75.7020	77.6400	93.1380	95.3400
129	0.010	1.7010	1.4700	75.6880	76.9400	93.1780	95.0000
130	0.010	1.6974	1.4750	75.8480	77.2100	92.9720	94.9900
131	0.010	1.6876	1.4741	75.8940	77.2100	93.0960	94.9500
132	0.010	1.6980	1.4748	75.8500	77.4100	93.1280	95.0600
133	0.010	1.6889	1.4719	75.6340	77.0300	93.2600	95.2100
134	0.010	1.6712	1.4893	76.3600	77.3700	93.3920	94.9700
135	0.010	1.6643	1.5091	76.3840	77.2500	93.3860	94.9100
136	0.010	1.6669	1.5059	76.3940	77.4800	93.2920	95.0600
137	0.010	1.6693	1.5209	76.5180	76.8400	93.3720	94.8600
138	0.010	1.6744	1.4874	76.2480	77.4900	93.2080	95.1300
139	0.010	1.6545	1.4840	76.5260	77.2700	93.3720	94.9100
140	0.010	1.6702	1.5106	76.3960	76.8700	93.2680	94.9900
141	0.010	1.6476	1.4864	76.7000	77.4400	93.5220	95.2300
142	0.010	1.6473	1.5185	76.6300	76.9900	93.5960	94.9400
143	0.010	1.6405	1.5275	76.6420	76.6700	93.6500	94.7000
144	0.010	1.6466	1.5290	76.8820	76.7500	93.5060	94.8700
145	0.010	1.6403	1.5414	77.0120	76.2700	93.4780	94.8800
146	0.010	1.6413	1.5572	77.0640	76.3200	93.5500	94.6400
147	0.010	1.6255	1.5046	77.0320	76.9200	93.5520	94.8400
148	0.010	1.6442	1.5788	76.8280	76.0800	93.5340	94.6000
149	0.010	1.6250	1.5157	77.2520	76.6900	93.6800	94.9500
150	0.001	1.5436	1.4087	78.8160	78.4100	94.2140	95.6200
151	0.001	1.5239	1.3954	79.2680	78.5300	94.1680	95.7600
152	0.001	1.5115	1.4022	79.5040	78.8000	94.3400	95.6600
153	0.001	1.5050	1.3989	79.8120	78.5800	94.2860	95.6900
154	0.001	1.4815	1.3982	79.9720	78.5600	94.5780	95.6200
155	0.001	1.4696	1.3964	80.1900	78.8600	94.6360	95.6900
156	0.001	1.4808	1.3972	80.1340	78.9700	94.5900	95.6500
157	0.001	1.4816	1.3931	80.0740	78.7300	94.6160	95.7300
158	0.001	1.4728	1.3945	80.2560	78.8300	94.6920	95.6300
159	0.001	1.4575	1.3925	80.6040	78.7800	94.7320	95.7300
160	0.001	1.4532	1.3934	80.7580	78.8500	94.7380	95.8300
161	0.001	1.4540	1.3925	80.7100	78.7200	94.7020	95.6900
162	0.001	1.4442	1.3925	81.0520	78.7500	94.8860	95.6400
163	0.001	1.4498	1.3928	80.6060	78.8600	94.7360	95.7100
164	0.001	1.4516	1.3920	80.8100	78.6400	94.7460	95.6700
165	0.001	1.4498	1.3944	80.7400	78.8000	94.7980	95.7900
166	0.001	1.4539	1.3940	80.8300	78.9300	94.7700	95.7500
167	0.001	1.4387	1.4004	81.0740	78.8200	94.9180	95.6800
168	0.001	1.4488	1.3937	80.8100	79.0200	94.7460	95.5900
169	0.001	1.4337	1.4046	81.0880	78.6500	94.9320	95.6400
170	0.001	1.4614	1.3995	80.5300	78.9900	94.6880	95.5200
171	0.001	1.4390	1.3977	80.9740	78.7400	94.7640	95.5200
172	0.001	1.4415	1.3968	80.9360	78.7800	94.6860	95.6300
173	0.001	1.4237	1.3922	81.2860	78.7400	94.9700	95.5900
174	0.001	1.4344	1.4011	81.1500	78.9700	94.8640	95.6700
175	0.001	1.4332	1.3969	80.9840	78.9400	94.8460	95.6900
176	0.001	1.4270	1.3980	81.2380	78.7500	94.8260	95.6300
177	0.001	1.4133	1.3930	81.4780	78.9900	95.0780	95.7600
178	0.001	1.4238	1.4001	81.4840	78.7900	94.8340	95.6400
179	0.001	1.4349	1.3980	81.1020	78.8300	94.8040	95.5700
180	0.001	1.4234	1.3984	81.3620	78.8600	94.9100	95.6700
181	0.001	1.4139	1.3981	81.4920	78.8200	95.0780	95.6200
182	0.001	1.4245	1.3994	81.3920	78.6800	95.0180	95.6900
183	0.001	1.4121	1.4000	81.5460	79.1500	95.0940	95.6500
184	0.001	1.4174	1.3996	81.6340	79.2500	94.9540	95.6200
185	0.001	1.4104	1.3982	81.6760	78.9500	95.0700	95.6600
186	0.001	1.4325	1.4022	81.1620	78.9000	94.8080	95.7000
187	0.001	1.4156	1.3990	81.5140	78.9100	95.0440	95.7000
188	0.001	1.4153	1.3978	81.4560	78.9800	95.0680	95.6400
189	0.001	1.4157	1.3965	81.5140	78.9400	94.9320	95.6500
190	0.001	1.4044	1.3966	81.5720	78.9500	95.1420	95.6400
191	0.001	1.4040	1.3979	81.8760	79.1200	94.9680	95.5800
192	0.001	1.4127	1.3979	81.5660	79.0200	94.9900	95.5900
193	0.001	1.4063	1.4030	81.7460	78.9600	94.9480	95.5300
194	0.001	1.4063	1.3974	81.6580	79.0500	95.0240	95.6500
195	0.001	1.4103	1.3996	81.5400	79.1000	95.0960	95.5400
196	0.001	1.4069	1.3961	81.5700	78.9700	95.1440	95.5600
197	0.001	1.4045	1.3983	81.9880	78.9700	94.9780	95.5400
198	0.001	1.3958	1.3977	81.8780	79.0600	95.1200	95.5100
199	0.001	1.4012	1.4005	81.7660	79.1500	95.0660	95.6200
