epoch	lr	train_loss	val_loss	train_acc1	val_acc1	train_acc5	val_acc5
1	0.100	15.4367	14.5177	11.3200	16.5000	32.5920	43.3200
2	0.100	14.4803	13.5876	15.5900	21.3200	40.2860	50.5500
3	0.100	13.5575	11.3757	19.2620	30.3800	46.3020	63.0800
